;comuna;barrio
0;0;Múltiples Barrios
1;1;Retiro
2;1;San Nicolás
3;1;Puerto Madero
4;1;San Telmo
5;1;Montserrat
6;1;Constitución
7;2;Recoleta
8;3;Balvanera
9;3;San Cristóbal
10;4;La Boca
11;4;Barracas
12;4;Parque Patricios
13;4;Nueva Pompeya
14;5;Almagro
15;5;Boedo
16;6;Caballito
17;7;Flores
18;7;Parque Chacabuco
19;8;Villa Soldati
20;8;Villa Riachuelo
21;8;Villa Lugano
22;9;Liniers
23;9;Mataderos
24;9;Parque Avellaneda
25;10;Villa Real
26;10;Monte Castro
27;10;Versalles
28;10;Floresta
29;10;Vélez Sarfield
30;10;Villa Luro
31;11;Villa General Mitre
32;11;Villa Devoto
33;11;Villa del Parque
34;11;Villa Santa Rita
35;12;Coghlan
36;12;Saavedra
37;12;Villa Urquiza
38;12;Villa Pueyrredón
39;13;Núñez
40;13;Belgrano
41;13;Colegiales
42;14;Palermo
43;15;Chacarita
44;15;Villa Crespo
45;15;La Paternal
46;15;Villa Ortúzar
47;15;Agronomía
48;15;Parque Chas
